id,nombre_curso,anio,categoria_id
12,"CURSO TALLER DE EVALUACION DEL APRENDIZAJE BASADA EN EVIDENCIAS DEL AREA DE INGENIERIAS DE LA UNA PUNO",2023,5
13,"CURSO TALLER DE EVALUACION DEL APRENDIZAJE CON INTELIGENCIA ARTIFICIAL EN EL AREA DE INGENIERIAS DE LA UNA PUNO",2024,2
14,"CURSO TALLER DE EVALUACION DEL APRENDIZAJE DE LA UNA-PUNO",2022,5
15,"CURSO TALLER DE FORTALECIMIENTO Y DESARROLLO DE COMPETENCIAS EN METODOLOGIAS DE ENSENANZA A LOS DOCENTES DEL AREA DE INGENIERIAS II DE LA UNA-PUNO",2021,5
16,"CURSO TALLER DE INVESTIGACION FORMATIVA CON INTELIGENCIA ARTIFICIAL PARA DOCENTES DEL AREA DE INGENIERIAS DE LA UNA PUNO",2024,2
17,"CURSO TALLER DE MANEJO DE LAS TIC PARA EL PROCESO DE ENSENANZA APRENDIZAJE DEL AREA DE INGENIERIAS DE LA UNA PUNO",2023,2
18,"CURSO TALLER DE MANEJO DE LAS TIC PARA EL PROCESO DE ENSENANZA APRENDIZAJE DEL AREA DE SOCIALES DE LA UNA PUNO",2023,2
19,"CURSO TALLER DE RETROALIMENTACION DEL APRENDIZAJE CON INTELIGENCIA ARTIFICIAL PARA LAS AREAS DE BIOMEDICAS, INGENIERIAS Y SOCIALES DE LA UNA PUNO",2024,2
20,"CURSO TALLER DE RETROALIMENTACION EN EL MARCO DE LA EVALUACION FORMATIVA",2021,5
21,"CURSO TALLER ESTRATEGIAS DE ATENCION Y ENSENANZA EN ESTUDIANTES UNIVERSITARIOS CON NECESIDADES EDUCATIVAS ESPECIALES",2023,5
22,"CURSO TALLER FORTALECIMINETO LA TUTORIA EN LA UNIVERSIDAD NACIONAL DEL ALTIPLANO",2023,5
23,"CURSO TALLER MANEJO DE ESTRATEGIAS EDUCATIVAS PARA ESTUDIANTES CON DISCAPACIDAD EN EL NIVEL SUPERIOR DE LA UNA PUNO",2023,5
24,"DESARROLLO DE HABILIDADES BLANDAS PARA LA TUTORIA UNIVERSITARIA: POTENCIANDO EL EXITO ACADEMICO Y PERSONAL",2024,5
25,"DISENO E IMPLEMENTACION DE CURSOS INTEGRADORES PARA LA EVALUACION DEL LOGRO DE COMPETENCIAS DEL PERFIL DE EGRESO DE LA UNIVERSIDAD NACIONAL DEL ALTIPLANO DE PUNO DEL AREA DE INGENIERIAS",2022,5
26,"FORTALECIMIENTO DE LAS CAPACIDADES PARA EL PROCESO PEDAGOGICO DE LA RETROALIMENTACION EN EL MARCO DE UN CLIMA EMPATICO DE LA UNA – PUNO",2022,5
27,"I SERIE DE WEBINARS DE INTELIGENCIA ARTIFICIAL EN LA EDUCACION",2023,2
28,"II SERIE DE WEBINARS: INTELIGENCIA ARTIFICIAL Y SU APLICACION EN EL AREA DE INGENIERIAS",,2
29,"MANEJO DEL DUELO EN TIEMPOS DE PANDEMIA",2021,5
30,"MEJORAMIENTO DE LAS CAPACIDADES DE LOS DOCENTES EN DIDACTICA UNIVERSITARIA DE LOS PROGRAMAS DE ESTUDIOS DEL AREA DE INGENIERIAS DE LA UNA – PUNO",2022,5
31,"MEJORAMIENTO DE LAS CAPACIDADES DE LOS DOCENTES EN EVALUACION DEL APRENDIZAJE EN LA EDUCACION SUPERIOR: AREA DE INGENIERIAS DE LA UNA – PUNO",2022,5
32,"MEJORAMIENTO DE LAS CAPACIDADES DE LOS DOCENTES EN INTEGRACION DE LAS TIC EN EL PROCESO DE ENSENANZA-APRENDIZAJE UNIVERSITARIO DE LOS PROGRAMAS DE ESTUDIOS DEL AREA DE INGENIERIAS DE LA UNA-PUNO",2022,2
33,"PERSPECTIVAS DEL DESARROLLO ECONOMICO REGIONAL EN EL CONTEXTO DEL CAMBIO CLIMATICO",2023,8
34,"PROGRAMACION CURRICULAR Y EVALUACION DEL APRENDIZAJE UNIVERSITARIO DEL AREA DE BIOMEDICAS DE LA UNA PUNO",2023,5
35,"SALUD MENTAL Y BIENESTAR PSICOLOGICO EN LA UNIVERSIDAD NACIONAL DEL ALTIPLANO - PUNO",2023,5
36,"TALLER DE CAPACITACION SOBRE LA IMPORTANCIA DE LA EMOCION EN EL PROCESO DE APRENDIZAJE DE LOS ESTUDIANTES EN EL CONTEXTO DE LA EDUCACION NO PRESENCIAL DE LA UNA-PUNO",2022,5
